year,division,water_area_km2
2015,Barisal,3836.7000000000003
2016,Barisal,4307.7
2017,Barisal,4075.7
2018,Barisal,3959.0
2019,Barisal,4633.2
2020,Barisal,3957.6
2021,Barisal,3919.2
2022,Barisal,3990.0
2023,Barisal,3821.1000000000004
2024,Barisal,3973.8999999999996
2025,Barisal,4107.4
2015,Chittagong,3865.9
2016,Chittagong,4425.1
2017,Chittagong,4881.9
2018,Chittagong,4421.2
2019,Chittagong,5025.4
2020,Chittagong,4733.1
2021,Chittagong,3801.3
2022,Chittagong,4428.8
2023,Chittagong,3705.2999999999997
2024,Chittagong,4712.700000000001
2025,Chittagong,3992.0
2015,Dhaka,8455.099999999999
2016,Dhaka,11565.300000000001
2017,Dhaka,9362.1
2018,Dhaka,7794.400000000001
2019,Dhaka,11395.699999999999
2020,Dhaka,13719.800000000001
2021,Dhaka,8440.800000000001
2022,Dhaka,8887.1
2023,Dhaka,8608.0
2024,Dhaka,10071.699999999999
2025,Dhaka,6533.500000000001
2015,Khulna,2955.3999999999996
2016,Khulna,4166.6
2017,Khulna,3868.7000000000003
2018,Khulna,3320.8999999999996
2019,Khulna,2829.2
2020,Khulna,3516.9
2021,Khulna,3571.0
2022,Khulna,2748.7999999999997
2023,Khulna,2921.9
2024,Khulna,2897.0
2025,Khulna,4041.7
2015,Rajshahi,3542.8
2016,Rajshahi,7008.1
2017,Rajshahi,3984.0
2018,Rajshahi,3553.0
2019,Rajshahi,5937.200000000001
2020,Rajshahi,7403.799999999999
2021,Rajshahi,4466.599999999999
2022,Rajshahi,3188.7999999999997
2023,Rajshahi,3300.5
2024,Rajshahi,5048.6
2025,Rajshahi,3227.5
2015,Rangpur,2043.4
2016,Rangpur,3956.2
2017,Rangpur,2332.0
2018,Rangpur,2201.7999999999997
2019,Rangpur,3154.0
2020,Rangpur,3866.8999999999996
2021,Rangpur,2318.5999999999995
2022,Rangpur,2066.8999999999996
2023,Rangpur,2352.6
2024,Rangpur,2794.2000000000003
2025,Rangpur,1877.1999999999998
2015,Sylhet,6716.200000000001
2016,Sylhet,8801.0
2017,Sylhet,8982.4
2018,Sylhet,7588.3
2019,Sylhet,10204.5
2020,Sylhet,11378.6
2021,Sylhet,7018.6
2022,Sylhet,11333.2
2023,Sylhet,8909.2
2024,Sylhet,11084.2
2025,Sylhet,6662.599999999999
