month,month_name,mean_km2,min_km2,max_km2,std_km2
1,January,15089.8,13290.0,16743.7,930.9
2,February,14038.2,13136.3,15072.9,611.4
3,March,14350.2,13049.2,15352.1,671.0
4,April,15045.5,9715.3,22424.1,2964.3
5,May,17748.7,13739.5,24806.1,4084.0
6,June,27640.9,17836.3,36895.1,5303.8
7,July,37504.4,30441.8,48576.7,5914.5
8,August,35485.7,30068.6,44335.9,4331.4
9,September,33811.6,29548.4,39287.6,2968.4
10,October,29511.3,24374.0,34373.3,3062.0
11,November,23248.2,19808.1,26849.0,2137.2
12,December,18651.9,16431.8,21069.4,1340.2
